Compound,Rate (K/s),% Yield
MgCo3,0.1217 ± nan,51.79 ± 0.17
CaCo3,0.0538 ± nan,44.46 ± 0.20
CuCo3,0.0478 ± nan,47.16 ± 0.25
K2Co3,0.0233 ± nan,27.85 ± 0.28
(NH2)3Co3,-0.0382 ± nan,5.80 ± 0.19
